visual_id,domain,title,visual_type,source_url,license_status,relevance_score,quality_score,educational_value,qc_status,notes
visual_batch_1_6e_01_01,neurology,Vestibular pathway diagram,image,assets/images/neurology/batch_1_6e_01_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,vestibular pathway diagram; central vs peripheral vertigo comparison card; HINTS exam schematic
visual_batch_1_6e_01_02,neurology,Basal ganglia loop diagram,image,assets/images/neurology/batch_1_6e_01_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,basal ganglia loop diagram; hyperkinetic vs hypokinetic movement video placeholder
visual_batch_1_6e_01_03,neurology,Meningitis/encephalitis anatomic spread diagram,image,assets/images/neurology/batch_1_6e_01_visual_03.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,meningitis/encephalitis anatomic spread diagram; CSF interpretation quick card
visual_batch_1_6e_02_01,neurology,Basal ganglia loop diagram,image,assets/images/neurology/batch_1_6e_02_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,basal ganglia loop diagram; hyperkinetic vs hypokinetic movement video placeholder
visual_batch_1_6e_02_02,neurology,Nigrostriatal dopamine pathway,image,assets/images/neurology/batch_1_6e_02_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,nigrostriatal dopamine pathway; cardinal motor signs flash animation
visual_batch_1_6e_02_03,neurology,Peripheral nerve anatomy,image,assets/images/neurology/batch_1_6e_02_visual_03.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,peripheral nerve anatomy; dermatome/myotome image card
visual_batch_1_6e_03_01,neurology,Basal ganglia loop diagram,image,assets/images/neurology/batch_1_6e_03_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,basal ganglia loop diagram; hyperkinetic vs hypokinetic movement video placeholder
visual_batch_1_6e_03_02,neurology,Meningitis/encephalitis anatomic spread diagram,image,assets/images/neurology/batch_1_6e_03_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,meningitis/encephalitis anatomic spread diagram; CSF interpretation quick card
visual_batch_1_6e_03_03,neurology,Headache red flags snoop/snnoop card,image,assets/images/neurology/batch_1_6e_03_visual_03.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,headache red flags SNOOP/SNNOOP card; migraine pathway diagram
visual_batch_1_6e_04_01,neurology,Meningitis/encephalitis anatomic spread diagram,image,assets/images/neurology/batch_1_6e_04_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,meningitis/encephalitis anatomic spread diagram; CSF interpretation quick card
visual_batch_1_6e_04_02,neurology,Tbi injury mechanism diagram,image,assets/images/neurology/batch_1_6e_04_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,TBI injury mechanism diagram; epidural/subdural/intracerebral comparison
visual_batch_1_6e_05_01,neurology,Ischemic vs hemorrhagic stroke ct/mri image cards,image,assets/images/neurology/batch_1_6e_05_visual_01.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,ischemic vs hemorrhagic stroke CT/MRI image cards; vascular territory map
visual_batch_1_6e_05_02,neurology,Radiology viewer card with ct/mri phase comparison,image,assets/images/neurology/batch_1_6e_05_visual_02.webp,placeholder_requires_clearance,4,0,4,needs_asset_creation,radiology viewer card with CT/MRI phase comparison
